                         	              doctim   	              hsptim   	              hspnit   
                         	                       	            (0.0639)   	                       
Living in nursing home   	                       	              0.5728***	                       
                         	                       	            (0.0949)   	                       
ADL 3 or more-Not in nursing home	                       	              0.4896***	                       
                         	                       	            (0.0446)   	                       
SR Alzheimers            	                       	              0.0478   	                       
                         	                       	            (0.0693)   	                       
adl3_alzhmr              	                       	             -0.0208   	                       
                         	                       	            (0.1097)   	                       
Eligable for Medicare due to disablity	                       	              0.5380***	                       
                         	                       	            (0.0895)   	                       
Died                     	                       	              1.1180***	                       
                         	                       	            (0.0419)   	                       
diabe_hearte             	                       	             -0.0351   	                       
                         	                       	            (0.0700)   	                       
diabe_hibpe              	                       	              0.0732   	                       
                         	                       	            (0.0792)   	                       
hibpe_hearte             	                       	             -0.0149   	                       
                         	                       	            (0.0610)   	                       
hibpe_stroke             	                       	             -0.1276*  	                       
                         	                       	            (0.0745)   	                       
diclaim_died             	                       	             -0.4057** 	                       
                         	                       	            (0.1689)   	                       
diclaim_nhmliv           	                       	              0.5390** 	                       
                         	                       	            (0.2286)   	                       
died_nhmliv              	                       	             -0.8192***	                       
                         	                       	            (0.1089)   	                       
Constant                 	                       	             -4.1542***	                       
                         	                       	            (0.4108)   	                       
hspnit                   	                       	                       	                       
age75p                   	                       	                       	             -0.0012   
                         	                       	                       	            (0.0046)   
age75l                   	                       	                       	              0.0419***
                         	                       	                       	            (0.0087)   
Male                     	                       	                       	             -0.0347   
                         	                       	                       	            (0.0489)   
Black                    	                       	                       	              0.3164***
                         	                       	                       	            (0.0648)   
Hispanic                 	                       	                       	              0.0476   
                         	                       	                       	            (0.1071)   
Less than high school    	                       	                       	              0.0979*  
                         	                       	                       	            (0.0516)   
Some college and above   	                       	                       	             -0.1012*  
                         	                       	                       	            (0.0567)   
widowed                  	                       	                       	              0.0242   
                         	                       	                       	            (0.0561)   
single                   	                       	                       	              0.0054   
                         	                       	                       	            (0.0751)   
Cancer                   	                       	                       	              0.2611***
                         	                       	                       	            (0.0524)   
Diabetes                 	                       	                       	              0.1417   
                         	                       	                       	            (0.1075)   
Hypertension             	                       	                       	              0.0199   
                         	                       	                       	            (0.0700)   
Heart disease            	                       	                       	              0.4253***
                         	                       	                       	            (0.0887)   
Lung disease             	                       	                       	              0.2664***
                         	                       	                       	            (0.0499)   
Stroke                   	                       	                       	              0.3752***
                         	                       	                       	            (0.0994)   
Living in nursing home   	                       	                       	              0.9487***
                         	                       	                       	            (0.1131)   
ADL 3 or more-Not in nursing home	                       	                       	              0.6409***
                         	                       	                       	            (0.0658)   
SR Alzheimers            	                       	                       	             -0.1504   
                         	                       	                       	            (0.1103)   
adl3_alzhmr              	                       	                       	              0.1292   
                         	                       	                       	            (0.1650)   
Eligable for Medicare due to disablity	                       	                       	              0.5431***
                         	                       	                       	            (0.1334)   
Died                     	                       	                       	              1.5411***
                         	                       	                       	            (0.0705)   
diabe_hearte             	                       	                       	              0.0026   
                         	                       	                       	            (0.1026)   
diabe_hibpe              	                       	                       	              0.2713***
                         	                       	                       	            (0.1051)   
hibpe_hearte             	                       	                       	              0.0125   
                         	                       	                       	            (0.0986)   
hibpe_stroke             	                       	                       	             -0.0436   
                         	                       	                       	            (0.1159)   
diclaim_died             	                       	                       	             -0.2864   
                         	                       	                       	            (0.2958)   
diclaim_nhmliv           	                       	                       	              0.7932*  
                         	                       	                       	            (0.4770)   
died_nhmliv              	                       	                       	             -1.1205***
                         	                       	                       	            (0.1721)   
Constant                 	                       	                       	             -3.0785***
                         	                       	                       	            (0.6318)   

Adjusted R2              	                       	                       	                       
N                        	              33,231   	              33,231   	              28,357   

* p<0.10, ** p<0.05, *** p<0.01
